Date,State,TotalSamples,Negative,Positive,,,,,
02/17/20,Kerala,423,406,3,,,,,
02/18/20,Kerala,425,420,3,,,,,
02/19/20,Kerala,432,423,3,,,,,
02/20/20,Kerala,433,423,3,,,,,
02/21/20,Kerala,437,426,3,,,,,
02/22/20,Kerala,441,436,3,,,,,
02/23/20,Kerala,444,436,3,,,,,
02/24/20,Kerala,449,441,3,,,,,
02/25/20,Kerala,451,446,3,,,,,
02/26/20,Kerala,460,451,3,,,,,
02/27/20,Kerala,462,451,3,,,,,
02/28/20,Kerala,471,463,3,,,,,
02/29/20,Kerala,485,471,3,,,,,
03/01/20,Kerala,488,471,3,,,,,
03/01/20,Tamil Nadu,49,49,0,,,,,
03/02/20,Kerala,504,493,3,,,,,
03/02/20,Tamil Nadu,50,50,0,,,,,
03/03/20,Kerala,520,494,3,,,,,
03/03/20,Tamil Nadu,50,50,0,,,,,
03/04/20,Kerala,552,511,3,,,,,
03/04/20,Tamil Nadu,54,54,0,,,,,
03/05/20,Kerala,574,535,3,,,,,
03/05/20,Tamil Nadu,54,54,0,,,,,
03/06/20,Kerala,631,579,3,,,,,
03/06/20,Tamil Nadu,56,54,0,,,,,
03/07/20,Kerala,682,616,3,,,,,
03/07/20,Tamil Nadu,60,56,1,,,,,
03/08/20,Kerala,729,664,8,,,,,
03/08/20,Tamil Nadu,68,59,1,,,,,
03/09/20,Kerala,807,717,9,,,,,
03/09/20,Tamil Nadu,72,69,1,,,,,
03/10/20,Kerala,980,815,17,,,,,
03/10/20,Tamil Nadu,74,69,1,,,,,
03/11/20,Kerala,1179,889,17,,,,,
03/11/20,Tamil Nadu,75,73,1,,,,,
03/12/20,Kerala,1377,953,19,,,,,
03/12/20,Tamil Nadu,76,73,1,,,,,
03/13/20,Karnataka,639,540,6,,,,,
03/13/20,Kerala,1715,1132,22,,,,,
03/13/20,Tamil Nadu,77,76,1,,,,,
03/14/20,Karnataka,731,590,6,,,,,
03/14/20,Kerala,1897,1345,22,,,,,
03/14/20,Tamil Nadu,79,76,1,,,,,
03/15/20,Karnataka,862,609,6,,,,,
03/15/20,Kerala,2147,1514,24,,,,,
03/15/20,Tamil Nadu,88,85,1,,,,,
03/16/20,Karnataka,895,695,7,,,,,
03/16/20,Kerala,2297,1693,27,,,,,
03/16/20,Tamil Nadu,98,95,1,,,,,
03/17/20,Karnataka,943,766,11,,,,,
03/17/20,Kerala,2467,1807,27,,,,,
03/17/20,Tamil Nadu,140,138,1,,,,,
03/18/20,Karnataka,1068,869,14,,,,,
03/18/20,Kerala,2550,2140,27,,,,,
03/18/20,Tamil Nadu,222,166,2,,,,,
03/19/20,Karnataka,1143,915,15,,,,,
03/19/20,Kerala,2921,2342,28,,,,,
03/19/20,Tamil Nadu,320,232,3,,,,,
03/20/20,Karnataka,1207,970,15,,,,,
03/20/20,Kerala,3436,2393,40,,,,,
03/20/20,Tamil Nadu,333,303,3,,,,,
03/21/20,Karnataka,1377,996,20,,,,,
03/21/20,Kerala,3716,2566,52,,,,,
03/21/20,Tamil Nadu,412,339,6,,,,,
03/22/20,Karnataka,1387,1108,26,,,,,
03/22/20,Kerala,4035,2744,67,,,,,
03/22/20,Tamil Nadu,443,359,7,,,,,
03/23/20,Karnataka,1477,1153,33,,,,,
03/23/20,Kerala,4291,2987,95,,,,,
03/23/20,Tamil Nadu,552,503,9,,,,,
03/24/20,Karnataka,1637,1196,41,,,,,
03/24/20,Kerala,4516,3331,109,,,,,
03/24/20,Tamil Nadu,743,608,15,,,,,
03/25/20,Karnataka,2438,2242,51,,,,,
03/25/20,Kerala,4902,3465,118,,,,,
03/25/20,Tamil Nadu,890,757,23,,,,,
03/26/20,Karnataka,2731,2432,55,,,,,
03/26/20,Kerala,5342,3768,137,,,,,
03/26/20,Tamil Nadu,1039,933,26,,,,,
03/27/20,Karnataka,2838,2563,64,,,,,
03/27/20,Kerala,5679,4448,176,,,,,
03/27/20,Tamil Nadu,1243,1157,38,,,,,
03/28/20,Delhi,1787,1297,49,,,,,
03/28/20,Karnataka,3076,2763,76,,,,,
03/28/20,Kerala,6067,5276,182,,,,,
03/28/20,Tamil Nadu,1500,1393,42,,,,,
03/29/20,Delhi,2049,1608,72,,,,,
03/29/20,Karnataka,3170,2874,83,,,,,
03/29/20,Kerala,6690,5518,202,,,,,
03/29/20,Tamil Nadu,1763,1682,50,,,,,
03/30/20,Delhi,2168,1749,97,,,,,
03/30/20,Karnataka,3243,3025,88,,,,,
03/30/20,Kerala,6991,6034,234,,,,,
03/30/20,Tamil Nadu,2040,1853,67,,,,,
03/31/20,Delhi,2315,1929,120,,,,,
03/31/20,Karnataka,3535,3297,101,,,,,
03/31/20,Kerala,7485,6381,241,,,,,
03/31/20,Tamil Nadu,2354,,124,,,,,
04/01/20,Andhra Pradesh,1313,1226,87,,,,,
04/01/20,Delhi,2621,2299,152,,,,,
04/01/20,Karnataka,3799,3479,110,,,,,
04/01/20,Kerala,7965,7256,265,,,,,
04/01/20,Madhya Pradesh,1328,745,86,,,,,
04/01/20,Odisha,610,606,4,,,,,
04/01/20,Punjab,1260,1149,46,,,,,
04/01/20,Tamil Nadu,2726,,234,,,,,
04/02/20,Andhra Pradesh,1800,1175,132,,,,,
04/02/20,Chandigarh,124,98,18,,,,,
04/02/20,Delhi,3120,2452,293,,,,,
04/02/20,Karnataka,4181,3910,124,,,,,
04/02/20,Kerala,8456,7622,286,,,,,
04/02/20,Madhya Pradesh,1455,1086,107,,,,,
04/02/20,Odisha,900,895,5,,,,,
04/02/20,Punjab,1434,1236,47,,,,,
04/02/20,Tamil Nadu,3272,2559,309,,,,,
04/03/20,Delhi,3273,2578,399,,,,,
04/03/20,Jammu and Kashmir,1218,,75,,,,,
